company_id,NAME OF COMPANY,company_code,Exchange,Marker
143,Arihant Capital Markets Limited,ARIHANTCAP,NSE,EQ
144,Arihant Superstructures Limited,ARIHANTSUP,NSE,EQ
145,Arkade Developers Limited,ARKADE,NSE,EQ
146,Arman Financial Services Limited,ARMANFIN,NSE,EQ
147,Aro Granite Industries Limited,AROGRANITE,NSE,EQ
148,Arrow Greentech Limited,ARROWGREEN,NSE,BE
149,Arshiya Limited,ARSHIYA,NSE,BZ
150,Artemis Medicare Services Limited,ARTEMISMED,NSE,EQ
151,Art Nirman Limited,ARTNIRMAN,NSE,BE
152,Arvee Laboratories (India) Limited,ARVEE,NSE,EQ
153,Arvind Limited,ARVIND,NSE,EQ
154,Arvind Fashions Limited,ARVINDFASN,NSE,EQ
155,Arvind SmartSpaces Limited,ARVSMART,NSE,EQ
156,Asahi India Glass Limited,ASAHIINDIA,NSE,EQ
157,Asahi Songwon Colors Limited,ASAHISONG,NSE,EQ
158,Automotive Stampings and Assemblies Limited,ASAL,NSE,EQ
159,Associated Alcohols & Breweries Ltd.,ASALCBR,NSE,EQ
160,Ashapura Minechem Limited,ASHAPURMIN,NSE,EQ
161,Ashiana Housing Limited,ASHIANA,NSE,EQ
162,Ashima Limited,ASHIMASYN,NSE,EQ
163,Ashoka Buildcon Limited,ASHOKA,NSE,EQ
164,Ashoka Metcast Limited,ASHOKAMET,NSE,EQ
165,Ashok Leyland Limited,ASHOKLEY,NSE,EQ
166,Asian Energy Services Limited,ASIANENE,NSE,EQ
167,Asian Hotels (North) Limited,ASIANHOTNR,NSE,BE
168,Asian Paints Limited,ASIANPAINT,NSE,EQ
169,Asian Granito India Limited,ASIANTILES,NSE,EQ
170,ASK Automotive Limited,ASKAUTOLTD,NSE,EQ
171,Bartronics India Limited,ASMS,NSE,EQ
172,Aspinwall and Company Limited,ASPINWALL,NSE,EQ
173,Astec LifeSciences Limited,ASTEC,NSE,EQ
174,Aster DM Healthcare Limited,ASTERDM,NSE,EQ
175,Astral Limited,ASTRAL,NSE,EQ
176,Astra Microwave Products Limited,ASTRAMICRO,NSE,EQ
177,AstraZeneca Pharma India Limited,ASTRAZEN,NSE,EQ
178,Astron Paper & Board Mill Limited,ASTRON,NSE,EQ
179,Atal Realtech Limited,ATALREAL,NSE,EQ
180,Atam Valves Limited,ATAM,NSE,EQ
181,Agro Tech Foods Limited,ATFL,NSE,EQ
182,Adani Total Gas Limited,ATGL,NSE,EQ
183,Allcargo Terminals Limited,ATL,NSE,EQ
184,ATLANTAA LIMITED,ATLANTAA,NSE,BE
185,Atlas Cycles (Haryana) Limited,ATLASCYCLE,NSE,BE
186,Atul Limited,ATUL,NSE,EQ
187,Atul Auto Limited,ATULAUTO,NSE,EQ
188,AU Small Finance Bank Limited,AUBANK,NSE,EQ
189,Aurionpro Solutions Limited,AURIONPRO,NSE,EQ
190,Aurobindo Pharma Limited,AUROPHARMA,NSE,EQ
191,Aurum PropTech Limited,AURUM,NSE,EQ
192,Ausom Enterprise Limited,AUSOMENT,NSE,EQ
193,Automotive Axles Limited,AUTOAXLES,NSE,EQ
194,Autoline Industries Limited,AUTOIND,NSE,EQ
195,Avadh Sugar & Energy Limited,AVADHSUGAR,NSE,EQ
196,Avalon Technologies Limited,AVALON,NSE,EQ
197,Avantel Limited,AVANTEL,NSE,EQ
198,Avanti Feeds Limited,AVANTIFEED,NSE,EQ
199,AVG Logistics Limited,AVG,NSE,BE
200,Aditya Vision Limited,AVL,NSE,EQ
201,Avonmore Capital & Management Services Limited,AVONMORE,NSE,BE
202,AVRO INDIA LIMITED,AVROIND,NSE,EQ
203,AVT Natural Products Limited,AVTNPL,NSE,EQ
204,Awfis Space Solutions Limited,AWFIS,NSE,EQ
205,Antony Waste Handling Cell Limited,AWHCL,NSE,EQ
206,Adani Wilmar Limited,AWL,NSE,EQ
207,Axis Bank Limited,AXISBANK,NSE,EQ
208,AXISCADES Technologies Limited,AXISCADES,NSE,BE
209,Axita Cotton Limited,AXITA,NSE,EQ
210,AYM Syntex Limited,AYMSYNTEX,NSE,EQ
211,Azad Engineering Limited,AZAD,NSE,EQ
212,Bafna Pharmaceuticals Limited,BAFNAPH,NSE,BE
213,B.A.G Films and Media Limited,BAGFILMS,NSE,BE
214,Baid Finserv Limited,BAIDFIN,NSE,EQ
215,Bajaj Auto Limited,BAJAJ-AUTO,NSE,EQ
216,Bajaj Consumer Care Limited,BAJAJCON,NSE,EQ
217,Bajaj Electricals Limited,BAJAJELEC,NSE,EQ
218,Bajaj Finserv Limited,BAJAJFINSV,NSE,EQ
219,Bajaj Healthcare Limited,BAJAJHCARE,NSE,EQ
220,Bajaj Housing Finance Limited,BAJAJHFL,NSE,EQ
221,Bajaj Hindusthan Sugar Limited,BAJAJHIND,NSE,EQ
222,Bajaj Holdings & Investment Limited,BAJAJHLDNG,NSE,EQ
223,Indef Manufacturing Limited,BAJAJINDEF,NSE,EQ
224,Bajel Projects Limited,BAJEL,NSE,EQ
225,Bajaj Finance Limited,BAJFINANCE,NSE,EQ
226,Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,NSE,EQ
227,Balaji Telefilms Limited,BALAJITELE,NSE,BE
228,Balaji Amines Limited,BALAMINES,NSE,EQ
229,BALAXI PHARMACEUTICALS LIMITED,BALAXI,NSE,EQ
230,Balkrishna Paper Mills Limited,BALKRISHNA,NSE,EQ
231,Balkrishna Industries Limited,BALKRISIND,NSE,EQ
232,Balmer Lawrie & Company Limited,BALMLAWRIE,NSE,EQ
233,Bal Pharma Limited,BALPHARMA,NSE,EQ
234,Balrampur Chini Mills Limited,BALRAMCHIN,NSE,EQ
235,Balu Forge Industries Limited,BALUFORGE,NSE,EQ
236,Banaras Beads Limited,BANARBEADS,NSE,EQ
237,Bannari Amman Sugars Limited,BANARISUG,NSE,EQ
238,Banco Products (I) Limited,BANCOINDIA,NSE,EQ
239,Bandhan Bank Limited,BANDHANBNK,NSE,EQ
240,Bang Overseas Limited,BANG,NSE,BE
241,Banka BioLoo Limited,BANKA,NSE,EQ
242,Bank of Baroda,BANKBARODA,NSE,EQ
243,Bank of India,BANKINDIA,NSE,EQ
244,Bansal Wire Industries Limited,BANSALWIRE,NSE,EQ
245,Banswara Syntex Limited,BANSWRAS,NSE,EQ
246,Barbeque Nation Hospitality Limited,BARBEQUE,NSE,EQ
247,BASF India Limited,BASF,NSE,EQ
248,Bannari Amman Spinning Mills Limited,BASML,NSE,EQ
249,Bata India Limited,BATAINDIA,NSE,EQ
250,Bayer Cropscience Limited,BAYERCROP,NSE,EQ
251,Bharat Bijlee Limited,BBL,NSE,EQ
252,Black Box Limited,BBOX,NSE,EQ
253,Bombay Burmah Trading Corporation Limited,BBTC,NSE,EQ
254,B&B Triplewall Containers Limited,BBTCL,NSE,EQ
255,Bcl Industries Limited,BCLIND,NSE,EQ
256,Brand Concepts Limited,BCONCEPTS,NSE,EQ
257,Bharat Dynamics Limited,BDL,NSE,EQ
258,Beardsell Limited,BEARDSELL,NSE,EQ
259,Mrs. Bectors Food Specialities Limited,BECTORFOOD,NSE,EQ
260,Bedmutha Industries Limited,BEDMUTHA,NSE,EQ
261,Bharat Electronics Limited,BEL,NSE,EQ
262,BEML Limited,BEML,NSE,EQ
263,Bhansali Engineering Polymers Limited,BEPL,NSE,EQ
264,Berger Paints (I) Limited,BERGEPAINT,NSE,EQ
265,Best Agrolife Limited,BESTAGRO,NSE,BE
266,BF Investment Limited,BFINVEST,NSE,EQ
267,BF Utilities Limited,BFUTILITIE,NSE,EQ
268,Bharatiya Global Infomedia Limited,BGLOBAL,NSE,BZ
269,BGR Energy Systems Limited,BGRENERGY,NSE,BE
270,Bhagiradha Chemicals & Industries Limited,BHAGCHEM,NSE,EQ
271,Bhageria Industries Limited,BHAGERIA,NSE,EQ
272,Bhagyanagar India Limited,BHAGYANGR,NSE,EQ
273,Bhandari Hosiery Exports Limited,BHANDARI,NSE,EQ
274,Bharat Forge Limited,BHARATFORG,NSE,EQ
275,Bharat Gears Limited,BHARATGEAR,NSE,EQ
276,Bharat Rasayan Limited,BHARATRAS,NSE,EQ
277,Bharat Wire Ropes Limited,BHARATWIRE,NSE,EQ
278,Bharti Airtel Limited,BHARTIARTL,NSE,EQ
279,Bharti Hexacom Limited,BHARTIHEXA,NSE,EQ
280,Bharat Heavy Electricals Limited,BHEL,NSE,EQ
281,Bigbloc Construction Limited,BIGBLOC,NSE,EQ
282,Bikaji Foods International Limited,BIKAJI,NSE,EQ
283,Bhartiya International Limited,BIL,NSE,BE
284,Binani Industries Limited,BINANIIND,NSE,EQ
285,Biocon Limited,BIOCON,NSE,EQ
286,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,NSE,EQ
287,Birla Cable Limited,BIRLACABLE,NSE,EQ
288,Birla Corporation Limited,BIRLACORPN,NSE,EQ
289,Aditya Birla Money Limited,BIRLAMONEY,NSE,BE
290,Zinka Logistics Solutions Limited,BLACKBUCK,NSE,EQ
291,BEML Land Assets Limited,BLAL,NSE,EQ
292,BLB Limited,BLBLIMITED,NSE,EQ
293,Bliss GVS Pharma Limited,BLISSGVS,NSE,EQ
294,B. L. Kashyap and Sons Limited,BLKASHYAP,NSE,EQ
295,BLS International Services Limited,BLS,NSE,EQ
296,BLS E-Services Limited,BLSE,NSE,EQ
297,Blue Chip India Limited,BLUECHIP,NSE,BE
298,Blue Coast Hotels Limited,BLUECOAST,NSE,BE
299,Blue Dart Express Limited,BLUEDART,NSE,EQ
300,Blue Jet Healthcare Limited,BLUEJET,NSE,EQ
301,Blue Star Limited,BLUESTARCO,NSE,EQ
302,Bodal Chemicals Limited,BODALCHEM,NSE,EQ
303,Bohra Industries Limited,BOHRAIND,NSE,BE
304,Bombay Dyeing & Mfg Company Limited,BOMDYEING,NSE,EQ
305,Borosil Limited,BOROLTD,NSE,EQ
306,BOROSIL RENEWABLES LIMITED,BORORENEW,NSE,BE
307,Borosil Scientific Limited,BOROSCI,NSE,EQ
308,Bosch Limited,BOSCHLTD,NSE,EQ
309,Bharat Petroleum Corporation Limited,BPCL,NSE,EQ
310,BPL Limited,BPL,NSE,EQ
311,Brigade Enterprises Limited,BRIGADE,NSE,EQ
312,Britannia Industries Limited,BRITANNIA,NSE,EQ
313,Bharat Road Network Limited,BRNL,NSE,EQ
314,Brooks Laboratories Limited,BROOKS,NSE,EQ
315,BSE Limited,BSE,NSE,EQ
316,Bombay Super Hybrid Seeds Limited,BSHSL,NSE,EQ
317,BSL Limited,BSL,NSE,BE
318,BIRLASOFT LIMITED,BSOFT,NSE,EQ
319,Bodhi Tree Multimedia Limited,BTML,NSE,BE
320,Butterfly Gandhimathi Appliances Limited,BUTTERFLY,NSE,EQ
321,Barak Valley Cements Limited,BVCL,NSE,EQ
322,The Byke Hospitality Ltd,BYKE,NSE,BE
323,California Software Company Limited,CALSOFT,NSE,BE
324,Camlin Fine Sciences Limited,CAMLINFINE,NSE,EQ
325,Campus Activewear Limited,CAMPUS,NSE,EQ
326,Computer Age Management Services Limited,CAMS,NSE,EQ
327,Canara Bank,CANBK,NSE,EQ
328,Can Fin Homes Limited,CANFINHOME,NSE,EQ
329,Cantabil Retail India Limited,CANTABIL,NSE,EQ
330,Capacit'e Infraprojects Limited,CAPACITE,NSE,EQ
331,Capital Small Finance Bank Limited,CAPITALSFB,NSE,EQ
332,Caplin Point Laboratories Limited,CAPLIPOINT,NSE,EQ
333,Capital Trust Limited,CAPTRUST,NSE,EQ
334,Carborundum Universal Limited,CARBORUNIV,NSE,EQ
335,Career Point Limited,CAREERP,NSE,EQ
336,CARE Ratings Limited,CARERATING,NSE,EQ
337,Carraro India Limited,CARRARO,NSE,EQ
338,Cartrade Tech Limited,CARTRADE,NSE,EQ
339,CARYSIL LIMITED,CARYSIL,NSE,EQ
340,Castrol India Limited,CASTROLIND,NSE,EQ
341,Consolidated Construction Consortium Limited,CCCL,NSE,BE
342,Country Club Hospitality & Holidays Limited,CCHHL,NSE,EQ
343,CCL Products (India) Limited,CCL,NSE,EQ
344,Central Depository Services (India) Limited,CDSL,NSE,EQ
345,CEAT Limited,CEATLTD,NSE,EQ
346,Ceigall India Limited,CEIGALL,NSE,EQ
347,Celebrity Fashions Limited,CELEBRITY,NSE,EQ
348,Cello World Limited,CELLO,NSE,EQ
349,Century Enka Limited,CENTENKA,NSE,EQ
350,Century Extrusions Limited,CENTEXT,NSE,EQ
351,Central Bank of India,CENTRALBK,NSE,EQ
352,Centrum Capital Limited,CENTRUM,NSE,EQ
353,Centum Electronics Limited,CENTUM,NSE,EQ
354,Century Plyboards (India) Limited,CENTURYPLY,NSE,EQ
355,Cera Sanitaryware Limited,CERA,NSE,EQ
356,Cerebra Integrated Technologies Limited,CEREBRAINT,NSE,BZ
357,CESC Limited,CESC,NSE,EQ
358,Concord Enviro Systems Limited,CEWATER,NSE,EQ
359,Capri Global Capital Limited,CGCL,NSE,EQ
360,CG Power and Industrial Solutions Limited,CGPOWER,NSE,EQ
361,Chalet Hotels Limited,CHALET,NSE,EQ
362,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,NSE,EQ
363,Chembond Chemicals Ltd,CHEMBOND,NSE,EQ
364,Chemcon Speciality Chemicals Limited,CHEMCON,NSE,EQ
365,Chemfab Alkalis Limited,CHEMFAB,NSE,EQ
366,Chemplast Sanmar Limited,CHEMPLASTS,NSE,EQ
367,Chennai Petroleum Corporation Limited,CHENNPETRO,NSE,EQ
368,Cheviot Company Limited,CHEVIOT,NSE,EQ
369,Choice International Limited,CHOICEIN,NSE,EQ
370,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,NSE,EQ
371,Cholamandalam Financial Holdings Limited,CHOLAHLDNG,NSE,EQ
372,CIE Automotive India Limited,CIEINDIA,NSE,EQ
373,Cigniti Technologies Limited,CIGNITITEC,NSE,EQ
374,Cineline India Limited,CINELINE,NSE,BE
375,Cinevista Limited,CINEVISTA,NSE,EQ
376,Cipla Limited,CIPLA,NSE,EQ
377,Clean Science and Technology Limited,CLEAN,NSE,EQ
378,CL Educate Limited,CLEDUCATE,NSE,EQ
379,Chaman Lal Setia Exports Limited,CLSEL,NSE,EQ
380,CMI Limited,CMICABLES,NSE,BZ
381,CMS Info Systems Limited,CMSINFO,NSE,EQ
382,Coal India Limited,COALINDIA,NSE,EQ
383,Coastal Corporation Limited,COASTCORP,NSE,EQ
384,Cochin Shipyard Limited,COCHINSHIP,NSE,EQ
385,Coffee Day Enterprises Limited,COFFEEDAY,NSE,BE
386,Coforge Limited,COFORGE,NSE,EQ
387,Colgate Palmolive (India) Limited,COLPAL,NSE,EQ
388,Compuage Infocom Limited,COMPINFO,NSE,BZ
389,Compucom Software Limited,COMPUSOFT,NSE,EQ
390,Commercial Syn Bags Limited,COMSYN,NSE,BE
391,Container Corporation of India Limited,CONCOR,NSE,EQ
392,Concord Biotech Limited,CONCORDBIO,NSE,EQ
393,Confidence Petroleum India Limited,CONFIPET,NSE,EQ
394,Consolidated Finvest & Holdings Limited,CONSOFINVT,NSE,EQ
395,Control Print Limited,CONTROLPR,NSE,EQ
396,Coral India Finance & Housing Limited,CORALFINAC,NSE,EQ
397,Cords Cable Industries Limited,CORDSCABLE,NSE,EQ
398,Coromandel International Limited,COROMANDEL,NSE,EQ
399,COSMO FIRST LIMITED,COSMOFIRST,NSE,EQ
400,Country Condo's Limited,COUNCODOS,NSE,EQ
401,Craftsman Automation Limited,CRAFTSMAN,NSE,EQ
402,Creative Newtech Limited,CREATIVE,NSE,EQ
403,Creative Eye Limited,CREATIVEYE,NSE,EQ
404,CREDITACCESS GRAMEEN LIMITED,CREDITACC,NSE,EQ
405,Crest Ventures Limited,CREST,NSE,EQ
406,CRISIL Limited,CRISIL,NSE,EQ
407,Crompton Greaves Consumer Electricals Limited,CROMPTON,NSE,EQ
408,Crown Lifters Limited,CROWN,NSE,EQ
409,CSB Bank Limited,CSBBANK,NSE,EQ
410,CSL Finance Limited,CSLFINANCE,NSE,EQ
411,Cambridge Technology Enterprises Limited,CTE,NSE,BE
412,City Union Bank Limited,CUB,NSE,EQ
413,Cubex Tubings Limited,CUBEXTUB,NSE,BE
414,Cummins India Limited,CUMMINSIND,NSE,EQ
415,Cupid Limited,CUPID,NSE,EQ
416,Cyber Media (India) Limited,CYBERMEDIA,NSE,BE
417,Cybertech Systems And Software Limited,CYBERTECH,NSE,EQ
418,Cyient Limited,CYIENT,NSE,EQ
419,Cyient DLM Limited,CYIENTDLM,NSE,EQ
420,Dabur India Limited,DABUR,NSE,EQ
421,Dalmia Bharat Limited,DALBHARAT,NSE,EQ
422,Dalmia Bharat Sugar and Industries Limited,DALMIASUG,NSE,EQ
423,Dam Capital Advisors Limited,DAMCAPITAL,NSE,EQ
424,Damodar Industries Limited,DAMODARIND,NSE,EQ
425,Dangee Dums Limited,DANGEE,NSE,EQ
426,Datamatics Global Services Limited,DATAMATICS,NSE,EQ
427,Data Patterns (India) Limited,DATAPATTNS,NSE,EQ
428,Davangere Sugar Company Limited,DAVANGERE,NSE,EQ
429,D.B.Corp Limited,DBCORP,NSE,EQ
430,Deepak Builders & Engineers India Limited,DBEIL,NSE,EQ
431,Dilip Buildcon Limited,DBL,NSE,EQ
432,Dhampur Bio Organics Limited,DBOL,NSE,BE
433,Valor Estate Limited,DBREALTY,NSE,EQ
434,DB (International) Stock Brokers Limited,DBSTOCKBRO,NSE,EQ
435,Dishman Carbogen Amcis Limited,DCAL,NSE,EQ
436,DCB Bank Limited,DCBBANK,NSE,EQ
437,Dc Infotech And Communication Limited,DCI,NSE,EQ
438,DCM  Limited,DCM,NSE,EQ
439,DCM Financial Services Limited,DCMFINSERV,NSE,EQ
440,DCM Nouvelle Limited,DCMNVL,NSE,EQ
441,DCM Shriram Limited,DCMSHRIRAM,NSE,EQ
442,DCM Shriram Industries Limited,DCMSRIND,NSE,EQ
443,DCW Limited,DCW,NSE,EQ
444,DCX Systems Limited,DCXINDIA,NSE,EQ
445,Ddev Plastiks Industries Limited,DDEVPLSTIK,NSE,EQ
446,Deccan Cements Limited,DECCANCE,NSE,EQ
447,DEE Development Engineers Limited,DEEDEV,NSE,EQ
448,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,NSE,EQ
449,Deepak Nitrite Limited,DEEPAKNTR,NSE,EQ
450,Deep Industries Limited,DEEPINDS,NSE,EQ
451,Delhivery Limited,DELHIVERY,NSE,EQ
452,DELPHI WORLD MONEY LIMITED,DELPHIFX,NSE,BE
453,Delta Corp Limited,DELTACORP,NSE,EQ
454,Delta Manufacturing Limited,DELTAMAGNT,NSE,BE
455,Den Networks Limited,DEN,NSE,EQ
456,De Nora India Limited,DENORA,NSE,EQ
457,Denta Water and Infra Solutions Limited,DENTA,NSE,EQ
458,Dev Information Technology Limited,DEVIT,NSE,EQ
459,Devyani International Limited,DEVYANI,NSE,EQ
460,Digicontent Limited,DGCONTENT,NSE,BE
461,Dhampur Sugar Mills Limited,DHAMPURSUG,NSE,EQ
462,Dhanlaxmi Bank Limited,DHANBANK,NSE,BE
463,Dhani Services Limited,DHANI,NSE,EQ
464,Dhanuka Agritech Limited,DHANUKA,NSE,EQ
465,Dharmaj Crop Guard Limited,DHARMAJ,NSE,EQ
466,Dhruv Consultancy Services Limited,DHRUV,NSE,BE
